investment_transaction_id,account_id,security_id,date,name,quantity,amount,price,fees,type,subtype,iso_currency_code
1ca4272b-6c73-4a9c-af37-1dd3f1bace71,2daaae0e-8559-47a5-9ec6-382fa96fb605,2118b7c5-05e7-4d1a-bcc0-1ed09853fb9a,2023-07-07,pci,1737.86,71776.63,3569.79,49.44,buy,distribution,GBP
3e64b0ea-f09b-4787-8e83-c2dc3d3e91d6,0002fad7-1b47-479b-9daf-87c41ab0bf24,ff57bada-ff93-43bf-a883-3ea8b55d84cc,2011-10-25,pool,4957.826,-16664.42,4319.96,78.13,cash,withdrawal,GBP
16d81d68-d77b-4d32-9a8f-c329c8803063,d1fd9139-5626-43e7-9502-8ff6547665f3,970ec1f6-9cf8-44ee-839a-4c322bfe8dd7,2002-03-26,id,2236.526,88548.43,3575.52,7.59,cancel,distribution,CAD
9e667003-5041-49a3-8482-c59cde4305a7,cdfe525c-7188-4ce0-8fad-9a8b3063f7f6,9fca556f-5f01-4b78-9e6c-d7473f2af89d,2008-08-01,age,9222.35,-89035.67,1522.16,51.25,cash,buy,GBP
3cccf79b-a69b-4d43-98a1-b6cca03681b6,960dd68c-a84b-44b4-b0c4-568fa869a00c,483fd7f6-0b67-4804-b923-abb3b2fd7071,2008-12-07,present,2970.39,-51861.84,3855.7,98.34,sell,withdrawal,GBP
fc5f51da-cc48-4b7f-8835-ed9134f132b8,d187529b-5541-44cf-9d20-e5900e3d431e,e27aa3be-a863-4dfc-8b36-0719c5728f20,2003-11-05,bought,5699.947,-2357.59,4792.77,37.58,cancel,interest,GBP
9b9a4345-ab62-4eb0-9efd-4aa3cadb5a1d,80052419-1998-4c5d-b3eb-bf853ff93292,d1bed2c0-8cc0-4b69-9d7c-eb4f5040df08,2008-01-05,property,7159.701,-47715.63,586.23,12.15,fee,deposit,GBP
ecca62a7-fa4d-459b-9ba2-a49cd00216f7,c7299b60-7f4f-4be4-96f4-3b08e3cd1ca4,e8648cd4-6659-4f01-8179-65edf7b3a6d7,2020-02-10,processes,7592.423,-93410.57,4053.68,84.82,buy,dividend,USD
9a7cb530-82bb-4605-a890-2abdf4ef1dd4,d187529b-5541-44cf-9d20-e5900e3d431e,565c3f55-9376-4f83-adf2-ffa6cb59cf1b,2001-10-19,alternativ,4725.241,-7469.43,2991.94,71.34,transfer,transfer,CAD
43c78664-0dd1-4245-bffc-70589aca607c,a9d25ee5-2f71-4ff0-aa19-65e9b9c2e935,45708f4a-f9ff-4a64-b4c7-c08f06cab304,2003-12-10,shipped,6925.044,-54320.45,615.22,96.45,sell,buy,AUD
2d46acdb-ea65-495f-9597-cdaf43e66a9b,c92baab6-3557-4ed0-a024-fb768e554f9b,96fa77d5-5af3-4530-9c67-984987ea537c,2025-10-23,gourmet,3568.051,38350.6,1545.85,0.74,transfer,buy,USD
e1c021a6-5fb3-4c82-ba83-ddb142987a1d,4a760613-1d05-4844-a919-5dd4c1d71f35,5b0d3636-888d-4ad6-9474-b3da0236cee5,2025-03-03,atmosphere,572.619,37207.69,534.45,7.22,transfer,dividend,AUD
f999e664-34ce-4fca-9fc8-a005a5db812c,6f49452c-86cb-4689-9f1e-3c8ce955a8c9,1761b7ed-309a-40b8-853d-8931c2e19432,2008-02-28,dildos,5278.245,-10445.98,3755.98,30.84,fee,interest,GBP
c7b913d6-fd22-491b-9012-c8d761cb6986,ab1b2157-e077-4377-ae54-1eb236705e94,bd898a9a-58bc-4fb8-86c1-12598aa566e1,2014-02-01,problem,7032.507,73732.56,2469.66,31.47,fee,dividend,AUD
a179aef2-6e69-42fb-a3de-5219c05b3dcc,1192b775-8134-4523-9303-5266d311858e,96fa77d5-5af3-4530-9c67-984987ea537c,2022-02-20,suicide,5444.438,-81621.51,396.79,31.75,buy,buy,AUD
bcf63621-81c2-42b6-9076-4409e31b94c0,ed600d17-f96a-4bf7-b4cb-c7fca04e593c,f704b844-a8f5-4c55-a1a3-ac0598cfb769,2002-06-10,issued,8119.099,-95164.82,1093.23,85.7,sell,buy,GBP
398e9d88-55f1-400d-b909-1670a7e8e589,796a65ff-9602-45db-a028-60139f6a1549,c75c8b3b-1b97-4cbd-a400-ed46ee12fb5d,2001-03-29,betting,1163.486,-31186.06,4327.46,16.75,sell,withdrawal,GBP
8cad3910-bd2c-4d73-bd9f-28f0cf533fad,193b104e-6429-4c01-a507-988d883fd49f,5b307dce-9f18-4bf2-9d18-9ecc63cd0279,2004-05-26,carrying,3962.431,10646.95,2832.15,0.97,buy,fee,GBP
e58405e6-cce3-4b3c-a566-2ea105d4bff4,ab1b2157-e077-4377-ae54-1eb236705e94,3d17830b-24d3-4c00-81a6-5eaae7ad9d48,2017-12-02,screens,3441.245,-80627.23,212.62,97.36,cash,contribution,CAD
2270b0d7-f86b-4347-901c-5a0e0e594c2b,ac81414c-972d-40d9-9a90-27e415d3fafb,2bdf9bb8-5d51-4ee1-bc64-ff435e5b2f52,2013-05-06,places,8255.929,-8063.27,3294.06,18.09,fee,withdrawal,AUD
c9f49b61-ec8a-4fd1-bb4e-8850a575fb8e,2b8e26ba-1210-4295-b819-78594fb02059,2cbf49f7-35a1-4fae-b064-676dd823b15b,2000-05-28,shore,3238.541,-54899.5,4337.21,16.99,buy,buy,USD
c998f395-77e7-4c38-af28-17cea642ec30,73d4b371-e393-4218-a746-36908de6cd57,df12ae2f-b142-4713-8a20-49227fcf9f1f,2022-09-18,protocols,1949.684,30468.56,375.82,66.25,fee,dividend,EUR
653d07aa-1491-4bd3-805c-0404276ae89a,ee1862b1-ba9b-45bd-b2f5-7bff3ab60ce0,69ba4dcd-4155-499d-9eb3-12e1cc7caa83,2023-07-07,geographic,9549.899,-64674.6,4252.86,65.27,sell,sell,GBP
