security_id,isin,cusip,ticker_symbol,name,type,close_price,close_price_date,is_cash_equivalent,iso_currency_code
d8ccf5a4-2e55-4d8c-b123-816510d2d29a,designs,request,super,basic,cash,3397.06,2019-06-25,True,CAD
e6d2b707-25fb-46f1-920c-1dbffbb3ecd7,indeed,produce,ball,micro,fixed income,4763.95,2014-10-27,True,CAD
55baba81-0096-4e7b-9372-3670f9e08bfd,associate,matching,leadi,mixed,derivative,713.91,2023-09-14,False,CAD
9dd5b3c1-323b-45d8-8e9c-c59e250992ec,charlotte,explore,liste,browser,equity,3037.87,2017-08-29,True,CAD
ffde0bf1-1d3f-415e-b619-decd8286d49c,coordinator,mounted,belie,lenses,other,3906.56,2005-12-28,True,AUD
45422074-b2ca-4a78-b272-e00f9cd709c9,settlement,ink,liber,instant,mutual fund,174.0,2015-08-09,True,USD
ad06394f-0f81-475c-beab-91b112d3a746,artist,interface,serve,questions,derivative,336.18,2024-04-27,True,AUD
3e147c4b-6ed1-4158-9b4f-52719d24c0e0,graphic,should,relat,montana,equity,3892.58,2020-05-25,False,AUD
addb103b-949d-44a1-9314-3d8f8c515fb7,apache,felt,athle,xml,fixed income,1831.65,2024-09-16,False,CAD
9cdcd042-f9f3-4f6a-a97a-c1d91bd8fdd2,types,audio,twiki,alpha,other,1914.28,2020-04-09,False,CAD
71562db8-9544-4e8d-8f06-2e5e7c843c09,hat,riding,revie,who,fixed income,2836.23,2014-02-23,True,EUR
97ef9a26-94e9-4873-8d5e-0bf91d5b2c22,part,himself,wrong,generation,mutual fund,3025.48,2009-04-09,False,AUD
01f92360-682c-4989-87d2-51138b29bb27,suffering,ticket,furth,population,fixed income,3395.31,2010-06-29,False,AUD
993deab7-1892-4745-8539-df01790793f0,pet,man,pcs,files,fixed income,4744.12,2017-02-05,False,GBP
de6b6b12-cdd1-4aa2-8e88-d88a87bc8fbb,committed,maintaini,loop,random,mutual fund,1860.07,2004-04-13,False,EUR
deeac2f4-7e72-419e-b86f-697666e6ea9e,current,acceptanc,ages,employee,equity,3815.42,2022-03-23,False,GBP
abbda769-fac0-4c6d-898e-42c4c5e9c981,plant,markets,low,single,other,2869.61,2006-02-14,False,GBP
