transaction_id,card_id,user_id,amount,currency,merchant_name,merchant_category,transaction_date,posted_date,status,description,receipt_required,receipt_uploaded,expense_category,created_at
5c66024c-d169-4735-b0e7-d0dc806617ea,1712bf86-5c6d-4aed-974b-d7d5405cd01f,66c16ea3-5f64-4f35-a136-769e7438a7ac,4845.01,USD,dynamics,other,2025-04-22 18:52:11.396764,2025-12-23 09:08:11.764234,posted,employees,True,True,office,2025-12-31 18:25:54.808274
538fdb3f-5e94-4e6e-b972-6b647b0f0c64,1e2e0c11-1f03-4782-88a3-4146d01680d2,92f660cc-c238-4706-87f7-a63a87be8684,4631.91,CAD,multiple,office_supplies,2025-03-20 10:58:51.641079,2025-11-19 03:59:31.147475,pending,zimbabwe,False,True,software,2025-12-03 07:22:20.176042
1cbf8d97-8861-430f-b040-ff28d17ec8c9,a7fc11aa-3099-463a-b527-59a3a5fef706,89c01a10-67e7-4fd0-950d-a73c7d7feea9,4243.63,USD,kg,gas_stations,2025-12-22 20:46:56.352058,2025-01-09 06:15:44.071087,pending,characters,True,True,marketing,2025-05-26 03:46:00.050486
c9af644b-2bf2-400c-bd49-ee112e77ddcb,1bcc1fb5-725f-4944-a406-994328651faf,dd550acb-cd87-4fd6-8572-2aeaa89da599,832.39,EUR,making,travel,2025-08-24 13:10:56.434130,2025-07-12 17:24:06.869067,posted,few,True,True,training,2025-10-21 21:14:10.473209
7a573e52-a06e-4dd8-b966-bdddd64bf953,6b995ee6-3fab-4847-b53b-60e0e330feff,d22b3915-d303-4746-9f9a-59d5bd917bfd,2428.72,CAD,means,other,2025-01-10 00:20:16.997890,2025-02-11 05:56:24.168720,posted,marine,False,True,office,2025-09-29 02:21:38.643453
be67f405-d768-420c-8f22-d7e481a7f62e,0da3dc16-21ad-49b2-a2ae-bfcdd5235941,a8c63a33-c524-420f-839e-9d64d2031efb,1069.52,GBP,insider,marketing,2025-12-01 13:41:10.636818,2025-03-02 03:21:13.199212,refunded,exchange,True,True,software,2025-12-18 23:59:46.566362
60b8ea17-7d28-4525-bca8-3ee6eecd7a6a,e9e79649-8c5e-42d5-9458-a281a28afc23,450d15af-7838-42b1-8792-b355b84091ad,2005.8,GBP,conducted,travel,2025-11-10 09:15:06.052046,2025-10-18 15:09:03.378356,declined,primary,True,True,travel,2025-07-03 09:52:42.655455
83e7770f-3331-453e-b323-00341825cb77,55992b6c-f329-486f-8811-cdb22d8c357f,aac4fbc9-088a-44c1-b0e5-840159958246,294.12,GBP,mistake,meals,2025-04-04 00:13:10.669191,2025-02-16 03:19:50.416774,refunded,debate,True,True,office,2025-08-29 21:16:05.673045
22a942b8-8bc2-47d0-bda2-5019881583e9,fcc7c24e-bcce-4453-9128-15ca5b65b26f,31afab92-9dbe-42f4-96fa-677052010527,1895.49,GBP,roof,office_supplies,2025-03-12 12:23:11.467429,2025-05-15 14:16:14.877740,declined,anybody,False,True,travel,2025-10-02 04:48:44.699891
9e05123e-37bd-4abf-90fd-9cd4f29933b4,302ede84-7873-4932-be12-744a9bf70c54,b449e3d0-f30f-4d95-8ec5-c83dc0653654,4926.56,EUR,regular,gas_stations,2025-02-22 11:51:34.434096,2025-09-02 12:52:33.438967,declined,products,False,False,training,2025-10-29 07:30:19.082790
